"Nome da campanha","Nome do anúncio","Nome do conjunto de anúncios","URL do site","Tipo de mídia","Status de veiculação","Nível de veiculação",Frequência,Impressões,"Hook Rate","Reproduções de 100% do vídeo","Valor usado (BRL)","Cliques no link","Visualizações da página de destino do site","CPC (custo por clique no link)","CTR (todos)","CPM (custo por 1.000 impressões)","Tipo de resultado","Custo por resultado","Finalizações de compra iniciadas","Taxa de conversão",Resultados,"ROAS (retorno sobre o investimento em publicidade) das compras","Tipo de valor de resultado","Valor dos resultados","Início dos relatórios","Encerramento dos relatórios"
"[C] [LM - RMKT] [ADV. ABO]","AD - RMKT","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",https://www.denavita.com.br/products/laranja-moro-cafe-verde-e-cromo-30-caps?utm_source=Influenciador&utm_campaign=Dani+Winits+-+performance&utm_content=laranja+moro,Imagem,inactive,ad,3.8135665,872933,0.00071827,,20327.94625288,8556,6739,2.3758703,1.12368303,23.286949,"Compras no site",56.94102592,1219,0.04172511,357,4.1215964,"Valor de conversão da compra no site",83783.59,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","ADS - DANI — Cópia","[BOFU] [ADV+ ABERTO] [ESTATICO]",https://www.denavita.com.br/products/laranja-moro-cafe-verde-e-cromo-30-caps,Imagem,not_delivering,ad,3.02746799,835563,0,,8837.48530627,5586,3878,1.58207757,0.77480693,10.57668339,"Compras no site",40.72573874,721,0.03884712,217,5.08338837,"Valor de conversão da compra no site",44924.37,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","AD - RMKT","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",https://www.denavita.com.br/products/laranja-moro-cafe-verde-e-cromo-30-caps?utm_source=Influenciador&utm_campaign=Meta+performance&utm_content=meta+performance,Imagem,active,ad,3.71812378,831603,0.00055435,,21458.37632097,7571,6090,2.83428561,1.04184328,25.80363024,"Compras no site",54.74075592,1406,0.05177652,392,3.85026335,"Valor de conversão da compra no site",82620.4,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","AD - EVELYN","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",https://www.denavita.com.br/pages/lm1?utm_source=Influenciador&utm_campaign=Evelyn+Regly+-+performance&utm_content=Laranja+Moro&_pos=1&_sid=464449d27&_ss=r,Vídeo,inactive,ad,2.75004764,822542,0.17256383,,26036.01,11589,9496,2.24661403,1.67128244,31.65310708,"Compras no site",54.12891892,1604,0.04150488,481,3.34900086,"Valor de conversão da compra no site",87194.62,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - RMK ANA ELISA NIVER 3","[BM] [ANA ELISA]",http://denavita.com.br/pages/laranja-moro?utm_source=Influenciador&utm_campaign=Ana+Elisa+Fitfoodmenu+-+performance&utm_content=Laranja+Moro,Vídeo,not_delivering,ad,3.84351074,809747,0.12929347,,13119.87893855,4602,2949,2.85090807,0.69231501,16.20244217,"Compras no site",51.85722901,777,0.0549761,253,3.1674149,"Valor de conversão da compra no site",41556.1,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",AD2,"Arte - Organica Lm",http://www.denavita.com.br/pages/laranja-moro,Imagem,not_delivering,ad,2.75943485,792747,0,,6605.83,3591,2733,1.83955166,0.69013191,8.33283507,"Compras no site",53.70593496,512,0.0342523,123,3.66813557,"Valor de conversão da compra no site",24231.08,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",tons_dr-ursinho_video-reels_10-07-2025_nao-tem-clareador-oral-barra,"[PUBLICO ENG.] [DR]",https://www.denavita.com.br/pages/tons-clareador-de-pele,Vídeo,inactive,ad,3.48817838,767176,0.13408005,,19662.11,10916,8842,1.80121931,1.73949654,25.62920373,"Compras no site",64.46593443,1514,0.02794064,305,3.47891096,"Valor de conversão da compra no site",68402.73,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - EVELYN MOFU","teste aquisição ate dia 15  - Lm",http://lm1.denavita.com.br/,Vídeo,inactive,ad,2.13211008,675348,0.07623625,,6809.67786374,3584,2580,1.90002173,0.73414003,10.08321319,"Compras no site",65.47767177,347,0.02901786,104,2.7442282,"Valor de conversão da compra no site",18687.31,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - ANA ELISA MOFU","[BM] [ANA ELISA]",https://www.denavita.com.br/pages/laranja-moro?utm_source=Influenciador&utm_campaign=Ana+Elisa+Fitfoodmenu+-+performance&utm_content=Laranja+Moro,Vídeo,not_delivering,ad,3.32408493,657504,0.13823186,,11841.09808616,9525,6883,1.2431599,1.78265075,18.00916509,"Compras no site",66.15138596,657,0.01879265,179,3.16177602,"Valor de conversão da compra no site",37438.9,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - JADE TOFU — Cópia","[BM JADE]",https://www.denavita.com.br/pages/lm1?utm_source=Influenciador&utm_campaign=Jade+Seba+-+Performance&utm_content=Laranja+Moro,Vídeo,not_delivering,ad,1.70928585,636897,0.16719501,,12240.68022826,6994,5947,1.75016875,1.57921925,19.21924617,"Compras no site",70.75537704,539,0.02473549,173,2.5902817,"Valor de conversão da compra no site",31706.81,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD- NIVER 2","TONS TESTE",https://www.denavita.com.br/pages/tons-clareador-de-pele?utm_source=Influenciador&utm_campaign=Rodrigo+Andrade+-+performance&utm_content=Tons,Imagem,inactive,ad,2.94285887,632285,0,,20586.95,10053,8280,2.04784144,1.77198573,32.55960524,"Compras no site",68.16870861,1408,0.03004078,302,3.50621923,"Valor de conversão da compra no site",72182.36,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","ADS 2","Evelyn Regly BM - LM",http://lm1.denavita.com.br/,Vídeo,not_delivering,ad,2.7628101,624431,0.08966243,,5918.26487179,3596,3030,1.64579112,0.91763542,9.47785243,"Compras no site",54.296008,481,0.03031146,109,3.45377749,"Valor de conversão da compra no site",20440.37,2026-01-01,2026-05-25
