"Nome da campanha","Nome do anúncio","Nome do conjunto de anúncios","Segmentos de público","Status de veiculação","Nível de veiculação",Frequência,Impressões,"Hook Rate","Reproduções de 100% do vídeo","Valor usado (BRL)","Cliques no link","Visualizações da página de destino do site","CPC (custo por clique no link)","CTR (todos)","CPM (custo por 1.000 impressões)","Tipo de resultado","Custo por resultado","Finalizações de compra iniciadas","Taxa de conversão",Resultados,"ROAS (retorno sobre o investimento em publicidade) das compras","Tipo de valor de resultado","Valor dos resultados","Início dos relatórios","Encerramento dos relatórios"
"[C] [TONS] [PB DR]","Novo anúncio de Vendas","[PUBLICO ABERTO]",prospecting,inactive,ad,1.33708103,827597,0.47197126,,15702.60416175,20752,15736,0.75667907,,18.97373258,"Compras no site",102.63139975,1756,0.00737278,153,2.12084312,"Valor de conversão da compra no site",33302.76,2026-01-01,2026-05-25
"[C] [VARIOS PRODUTO] [ABO] [BID]",AD7,"[VINAGRE] [RMKT]",prospecting,inactive,ad,2.94988035,811105,0,,16171.31943032,7898,6613,2.04752082,,19.93739335,"Compras no site",76.64132431,1064,0.02671562,211,2.74481623,"Valor de conversão da compra no site",44387.3,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","ADS 6","Evelyn Regly BM - LM",prospecting,not_delivering,ad,1.86667841,805412,0.20311716,,9172.43634499,5157,4464,1.77863803,,11.38850221,"Compras no site",58.05339459,510,0.03063797,158,2.77148285,"Valor de conversão da compra no site",25421.25,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - LUCIANA  TOFU","[EXCLUSÃO BASE] [ADV. +]",prospecting,inactive,ad,1.81482131,796369,0.25730911,,13439.17703266,13642,12295,0.98513246,,16.87556526,"Compras no site",61.08716833,1054,0.01612667,220,2.75341041,"Valor de conversão da compra no site",37003.57,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD - BOFU","[PUBLICO ENG.] [DR]",prospecting,active,ad,3.80323086,776924,0,,20820.56110487,9278,7683,2.24407858,,26.79871018,"Compras no site",63.09260941,1498,0.03556801,330,3.76699598,"Valor de conversão da compra no site",78430.97,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - JADE MOFU","[EXCLUSÃO BASE] [ADV. +]",prospecting,inactive,ad,1.42400863,768190,0.22154545,,11128.16097887,12355,12081,0.90070101,,14.48620911,"Compras no site",70.88000623,523,0.01270741,157,2.24818818,"Valor de conversão da compra no site",25018.2,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","ADS - ASIATICA","[PUBLICO ENG.] [DR]",prospecting,active,ad,2.09146615,765577,0.32453822,,30409.33220166,27688,23357,1.09828562,,39.7208017,"Compras no site",107.07511339,2178,0.01025715,284,2.02597675,"Valor de conversão da compra no site",61608.6,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",AD2,"[HIBRIDO] [ESTATICO ORG.] [BID 60]",engaged,active,ad,8.10299468,730566,0.05830685,,8324.5943814,6543,4162,1.27229014,,11.39471914,"Compras no site",50.45208716,702,0.02521779,165,3.52000214,"Valor de conversão da compra no site",29302.59,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","AD - LUCIANA TOFU","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",prospecting,active,ad,1.57795556,729006,0.35220698,,23728.71385269,15387,13718,1.54212737,,32.54940817,"Compras no site",73.01142724,1379,0.02112173,325,2.42499785,"Valor de conversão da compra no site",57542.08,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - MES CONSUMIDOR","[AQUISIÇÃO]  [ADV. +]",prospecting,inactive,ad,3.55791278,722146,0.00363915,,18348.35064895,5999,5063,3.0585682,,25.40809012,"Compras no site",58.62092859,1139,0.05217536,313,3.18088373,"Valor de conversão da compra no site",58363.97,2026-01-01,2026-05-25
